
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  cell     index  customer_label
107  133.294444  158.063502    6           16         4          False  1328  1.862354               1
137  123.017326  162.317359    5           15         4          False  1368  1.713800               2
109  132.139682  158.590426    6           34         4          False  1328  1.702361               3
140  120.186164  163.500649    5           17         4          False  1368  1.696401               4
134  123.312454  164.813285    8           23         4          False  1368  1.644204               5
97   121.180427  159.311815    9           29         4          False  1326  1.584305               6
94   121.400458  156.874720    7           30         4          False  1326  1.576823               7
144  120.591693  160.993754    7           31         4          False  1368  1.574609               8
128  121.126456  160.684433    9           35         4          False  1368  1.539812               9
98   123.187730  157.394830    9           40         4          False  1326  1.502000              10
169  127.107375  165.378001    6           24         4          False  1411  1.475729              11
116  116.807424  161.036922    5           17         4          False  1367  1.427609              12
110  131.414180  157.003231  442           68         4          False  1328  1.400152              13
111  136.486561  155.840543    5           19         4          False  1329  1.379203              14
119  117.739298  164.327437    6           25         4          False  1367  1.361890              15
168  127.902379  167.828562    7           41         4          False  1411  1.305441              16
72   125.716381  150.339755    5           26         4          False  1285  1.304759              17
142  122.520695  163.952585    5           15         5          False  1368  1.281007              18
75   130.171054  153.916140    9           44         4          False  1286  1.254636              19
153  128.634998  162.014314    8           18         5          False  1369  1.253132              20
95   124.682068  157.057955  206           76         4          False  1326  1.232636              21
104  126.698087  156.737656    7           40         5          False  1327  1.232201              22
123  115.277958  161.555769    9           41         4          False  1367  1.230452              23
141  124.900102  162.561928    8           23         5          False  1368  1.228328              24
101  123.655214  158.550133    5           23         5          False  1326  1.220816              25
155  125.579346  164.427517    5           24         5          False  1369  1.213003              26
62   119.508368  152.781670    8           27         4          False  1283  1.193724              27
150  126.604576  162.196877    9           28         5          False  1369  1.186250              28
138  120.663971  160.354068    7           31         5          False  1368  1.175649              29
148  127.390200  161.003853    6           32         5          False  1369  1.159497              30
147  125.380154  164.956940    6           32         5          False  1369  1.159497              31
133  120.087484  163.582031    8           35         5          False  1368  1.149310              32
44   122.922199  145.958336    5           16         4          False  1242  1.145506              33
87   117.496973  159.484958    7           16         4          False  1325  1.142117              34
174  125.566479  173.225678    5           36         4          False  1453  1.132048              35
86   119.571277  159.155153    8           18         4          False  1325  1.129083              36
172  123.135448  173.880823    8           39         4          False  1452  1.126070              37
46   122.573963  145.940848    8           22         4          False  1242  1.117386              38
131  123.241629  163.058163    9           41         5          False  1368  1.109801              39
73   128.272169  152.721035  290           61         4          False  1285  1.105909              40
136  122.485331  164.960817    5           44         5          False  1368  1.090046              41
49   127.733698  149.229541    5           26         4          False  1243  1.083321              42
161  130.097799  160.577851    9           33         5          False  1370  1.079468              43
89   115.792903  158.018928    6           27         4          False  1325  1.070430              44
158  130.196215  161.136453    9           37         5          False  1370  1.050126              45
90   115.674606  159.665178    9           31         4          False  1325  1.044362              46
88   115.964318  155.483550    5           31         4          False  1325  1.044362              47
77   132.175257  152.414224    6           23         5          False  1286  1.044254              48
159  131.177612  162.000770    7           38         5          False  1370  1.042791              49
50   129.668161  146.075409    5           35         4          False  1243  1.040590              50
47   122.480135  149.635391    8           39         4          False  1242  1.037712              51
83   111.615161  158.475933    8           40         4          False  1324  1.036216              52
149  127.864396  163.165287  417           90         4          False  1369  1.032607              53
176  132.276432  175.624406    6           32         4          False  1496  1.014835              54
115  118.384206  162.097725    7           31         5          False  1367  0.978335              55
129  120.679126  160.083458  287           61         5          False  1368  0.978103              56
185  128.991553  180.757306    8           17         4          False  1537  0.975848              57
127  119.571050  164.207386    6           33         5          False  1367  0.965872              58
188  137.133113  184.963862    8           23         4          False  1539  0.962942              59
124  117.085849  161.495781    7           34         5          False  1367  0.959640              60
146  127.588574  160.605008  484           62         5          False  1369  0.958850              61
68   122.476035  154.036888    5           42         5          False  1284  0.949449              62
121  115.510031  162.428363    5           36         5          False  1367  0.947177              63
78   134.352013  151.601434    9           43         5          False  1286  0.945293              64
93   122.587460  158.506954  220          115         4          False  1326  0.940825              65
112  136.518745  157.475432    5           32         5          False  1329  0.940569              66
132  124.799453  160.568795  415          104         4          False  1368  0.939554              67
65   119.533986  151.879387    5           16         5          False  1283  0.937127              68
