
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  customer_label
2    103.431837  114.593551  480           64         4          False               1
3    117.035208  112.632866  348           96         4          False               2
5    120.938858  110.314812    8           37         4          False               3
7    138.127400  114.116628  303          191         4          False               4
9    119.091686  115.918920  578          218         4          False               5
12   145.061467  116.445269    7           20         4          False               6
13   116.852387  123.969137    3           20         4          False               7
14   117.626010  123.373854  227          164         4          False               8
18   143.576087  124.410296  296           93         4          False               9
21    66.303411  125.854997    6           28         4          False              10
22    95.260627  128.003194  565          224         4          False              11
25   113.215056  127.036323  496           93         4          False              12
28   129.484083  125.601724  593          257         4          False              13
30   130.606060  128.301244    6           30         4          False              14
31   135.310252  127.002381  389           62         4          False              15
33   140.205426  126.320159    9           56         4          False              16
35   142.489766  128.424036    6           17         4          False              17
38   161.301100  127.668405  421          144         4          False              18
39    90.394105  134.959698  375          214         4          False              19
41   115.697135  130.695534    7           59         4          False              20
42   120.117715  131.428255    9           41         4          False              21
44   123.513908  134.137465    9           23         4          False              22
45   125.234625  131.429122  480           87         4          False              23
46   126.083778  132.425172  392           75         4          False              24
47   129.990526  131.760069    8           15         4          False              25
48   134.315225  131.697344  498          224         4          False              26
51   137.456307  132.455165    3           37         4          False              27
52   142.557411  134.665310  257          124         4          False              28
56   112.095853  138.692371  584          249         4          False              29
58   111.656405  137.244355    9           19         4          False              30
65   122.888329  136.019795    6           30         4          False              31
66   123.643084  139.111217    8           23         4          False              32
68   124.740727  138.182283    4           49         4          False              33
70   130.504971  136.127858    3           16         4          False              34
71   134.319114  138.056914    8           49         4          False              35
74   137.688825  136.668207    1           53         4          False              36
76   148.989830  137.939449  534          247         4          False              37
77   115.941272  142.786502  381          242         4          False              38
81   124.030722  144.063023  577          104         4          False              39
82   127.244415  143.596909  541           67         4          False              40
85   131.238895  141.025239  409           94         4          False              41
87   131.640420  142.490906  334          253         4          False              42
90   102.531677  148.351621    4           44         4          False              43
91   101.003876  146.818982    4           27         4          False              44
94   112.950787  148.306380  305          151         4          False              45
96   117.190050  146.945865  261          105         4          False              46
97   115.782166  149.164251    8           21         4          False              47
101  124.368579  146.546429  219          201         4          False              48
102  124.332411  145.838582    5           32         4          False              49
103  124.019275  146.863631    5           54         4          False              50
105  120.301746  147.929142  517           70         4          False              51
