
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed
0    116.854448   12.635819  457          138         5          False
1     82.805658   70.705160    6           50         4          False
2     68.391619   97.198363    6           55         5          False
3    190.114953   98.829053    1           38         4          False
4    132.531991  103.269982    7           20         4          False
5    167.247224  107.318580  477          192         5          False
6    170.126591  108.981380  566          211         5          False
7    115.681892  114.774901  556           72         4          False
8    116.157249  114.085439    4           31         4          False
9    131.934445  110.213810  322           68         5          False
10   116.777093  117.497773    4           25         4          False
11   117.866491  115.025567  376          127         4          False
12   116.156507  118.208845  366           65         4          False
13   123.333010  115.449251    1           33         5          False
14    82.652152  120.467879  404          200         5          False
15    97.688492  124.032738  373          200         4          False
16   123.362954  121.090748    7           24         5          False
17   125.986508  120.420402    1           28         4          False
18   141.814023  122.310108    6           26         5          False
19   161.536074  122.181334    2           58         5          False
20    98.152995  129.009044  296          232         5          False
21   106.349076  129.118583  285          114         4          False
22   108.331891  125.984761    3           23         5          False
23   122.852225  125.385485  252           79         5          False
24   139.341967  129.448582    3           58         4          False
25   141.517647  128.365936    5           22         5          False
26   142.477301  128.098595  589          177         4          False
27    95.910021  130.221099    6           54         5          False
28   104.875070  133.648090    6           56         4          False
29   104.809090  134.823316    3           25         4          False
30   100.057721  132.661920    9           16         5          False
31   100.978020  132.446922  345           97         4          False
32   100.594685  132.433234  430          223         4          False
33   105.713335  131.887992    7           58         5          False
34   123.901325  133.984513  420          128         5          False
35   126.853840  131.154274    2           30         5          False
36   128.254177  130.583645  590          126         4          False
37   139.362140  131.211128    2           45         4          False
38   141.945459  130.297604  243           95         5          False
39   141.925691  131.472516  376          244         4          False
40   162.014712  132.605925    7           50         4          False
41   161.709999  134.132515    9           44         5          False
42   162.223696  133.501326    2           51         5          False
43    86.896815  135.920862    5           27         5          False
44   103.163416  137.578348  494          254         4          False
45   111.041456  136.889277  224          219         4          False
46   111.527219  135.682791    3           32         5          False
47   111.543883  135.928392    5           21         5          False
48   113.335832  137.636983    1           51         4          False
49   117.687912  137.385776    7           18         4          False
50   116.355933  136.305272    3           47         5          False
51   117.820345  136.872392    6           49         4          False
52   124.406349  135.786812    2           52         4          False
53   120.454161  138.400078  506           87         4          False
54   123.799329  138.313935    5           50         5          False
55   120.604007  139.246315  449          149         4          False
56   123.555142  138.590514    4           37         5          False
57   122.001660  136.734264    2           38         4          False
58   120.485481  136.347016  475          135         4          False
59   126.229814  138.194524    6           18         4          False
60   126.218302  139.085527    7           26         5          False
61   126.787124  135.364509  394          150         5          False
62   128.578132  139.085177    2           56         5          False
63   132.267318  136.125335  373           98         4          False
64   134.021679  139.619930    8           17         4          False
65   131.938845  139.738736  329          119         4          False
66   138.980373  135.605285    7           15         4          False
67   139.650967  139.283757  374          124         5          False
68   142.960368  135.346210    1           30         4          False
69   114.124364  142.605404    1           33         4          False
70   118.362864  143.743946  398           83         4          False
71   120.244926  141.746618    6           18         4          False
72   124.665985  143.446410    7           32         4          False
73   120.226348  140.444908    7           30         4          False
74   122.412227  143.219097    4           57         4          False
75   123.392502  141.152416  469          214         4          False
76   123.149702  141.977078  455          206         4          False
77   122.154787  142.812228    6           43         5          False
78   123.208164  141.760616  384          125         4          False
79   122.416325  144.570219    8           59         4          False
80   129.116770  141.325491    4           45         5          False
81   125.995036  144.588686  270          158         4          False
82   125.278419  140.911075    2           17         4          False
83   127.761990  140.975280  238          214         4          False
84   138.149449  142.062384  328          180         5          False
85   141.292210  141.639112  250          231         5          False
86   141.084749  144.158200  380          104         5          False
87   100.199475  146.167472    9           54         5          False
88   101.328945  145.076119    7           26         5          False
89   108.193157  149.320010  284          176         4          False
90   108.965389  147.845126  447          183         5          False
91   108.215820  147.162567    7           48         4          False
92   108.967127  147.330536    3           27         5          False
93   115.179890  149.726926  237           70         5          False
94   118.907312  147.728766  594          106         5          False
95   117.208830  149.348646  575          124         5          False
96   121.159743  149.457785  264          173         5          False
97   121.733612  148.745251  565          133         5          False
98   123.481650  146.434058  286          136         4          False
99   121.134625  145.451339    1           55         4          False
100  122.465932  145.725092  359           87         5          False
101  124.101446  149.590646  303           86         4          False
102  120.988929  145.824838    8           36         4          False
103  128.556315  145.185477    6           31         5          False
104  126.020062  149.229435  251          240         4          False
105  128.659189  146.182457    3           29         5          False
106  126.111757  145.615377    3           19         5          False
107  127.517469  145.148959  518          211         5          False
108  130.905594  147.863751  540          156         5          False
109  130.829502  149.249267  444          151         4          False
110  137.805189  145.739417    4           31         5          False
111  135.588022  149.441195  502           85         4          False
112  139.172192  149.539239  360          196         5          False
113  135.927875  149.434247  239          174         4          False
114   97.627707  154.031680    2           24         5          False
115   98.871735  153.639710  543          153         5          False
116  107.137103  154.835442  400          103         5          False
117  109.928211  154.554280  254          198         5          False
118  106.885011  153.809010  568          251         4          False
119  106.120104  152.338643  441          112         5          False
120  107.127967  154.454487  384          255         4          False
121  117.267822  151.571283    7           29         4          False
122  115.399864  153.541367    1           50         5          False
123  119.132235  153.075982    5           25         4          False
124  118.469458  153.356910    6           36         4          False
125  115.434971  153.483393    6           36         5          False
126  116.002965  151.150724  585          219         4          False
127  116.646895  150.070491    1           28         5          False
128  116.573610  150.100680  457          242         5          False
129  116.564487  153.760624  438          245         4          False
130  117.105632  153.618875  531          109         5          False
131  118.969501  151.546220  393          119         4          False
132  119.964530  151.251663  590          151         5          False
133  116.824978  151.666830  339           73         4          False
134  116.140709  153.289620  248          136         4          False
135  119.820093  150.723880  428          201         4          False
136  119.816537  151.737587    5           48         4          False
137  118.672296  151.676482  204           96         5          False
138  119.231485  153.520780    3           38         5          False
139  119.132551  150.800555  340           90         4          False
140  115.633817  154.173051    8           38         5          False
141  116.241736  151.226259  576          147         4          False
142  115.961769  152.262268    1           32         5          False
143  117.423977  153.857902  206          150         5          False
144  119.010150  152.167929    4           41         5          False
145  115.139240  153.714864    6           50         4          False
146  116.670705  152.278245    7           20         5          False
147  117.294583  153.542881  362          233         5          False
148  118.362978  151.742475    2           51         4          False
149  119.817433  151.126167  343          248         4          False
150  115.424768  153.042728    8           37         5          False
151  115.057478  150.009706  355          165         5          False
152  123.544285  152.807476  244           65         4          False
153  123.063197  153.743559    7           56         4          False
154  120.263372  150.625849    3           47         5          False
155  120.270588  152.499850    4           38         4          False
156  124.570810  154.119413    4           51         5          False
157  125.924508  153.034833    4           35         4          False
158  127.995098  152.631445  266          132         4          False
159  125.856533  151.173793  241          173         4          False
160  127.645139  154.894116  529          130         5          False
161  129.963679  150.282686  488          163         5          False
162  126.586324  153.694127  246          170         5          False
163  126.499442  151.563250  548          110         5          False
164  125.395971  154.650481  240          238         4          False
165  134.575836  154.100017  380          205         5          False
166  131.312382  154.754033    3           24         5          False
167  131.650911  153.779363  476           64         5          False
168  133.348740  154.135139    7           47         5          False
169  130.922337  152.361668    2           33         4          False
170  130.896556  152.677331    8           39         5          False
171  133.571908  152.764355    3           24         5          False
172  133.440829  153.391857  560          188         4          False
173  137.198734  151.312741    9           34         4          False
