
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed  customer_label
2    110.756709   70.692711  574           75         4          False               1
4    116.049548  112.981170  450          112         4          False               2
5    117.565620  111.850451  274           64         4          False               3
11   102.236150  124.973389    7           26         4          False               4
12   119.057078  124.298063  377          178         4          False               5
13   122.679237  124.679187    1           40         4          False               6
14   121.297262  120.325478  301          115         4          False               7
17   175.671377  121.609577    2           18         4          False               8
19   109.505346  125.179637    5           20         4          False               9
21   137.064621  128.962666    5           18         4          False              10
25    98.172014  130.950092    4           51         4          False              11
26   101.070843  131.988447  467           99         4          False              12
27   101.990671  134.225207  321          201         4          False              13
28   103.666248  132.865375  275          260         4          False              14
29   103.378822  133.596783    4           27         4          False              15
30   104.325994  132.082296    3           47         4          False              16
31   122.813345  134.252644    3           45         4          False              17
32   129.933840  130.808359  369           86         4          False              18
34   139.289699  130.909805    2           31         4          False              19
35   139.806621  133.828015  539          180         4          False              20
37    94.935611  137.274190    5           16         4          False              21
40   113.611835  136.532450  417          245         4          False              22
41   118.777941  139.857520    1           52         4          False              23
43   119.330676  135.085868  292          163         4          False              24
44   121.030432  137.220128  413          127         4          False              25
47   131.267884  135.345733  324          221         4          False              26
49   134.248424  136.015735    5           49         4          False              27
50   131.895555  135.220940  417           83         4          False              28
51   131.946062  137.439351    8           19         4          False              29
55   137.081853  135.567803    9           55         4          False              30
56   145.824357  138.882785  333          208         4          False              31
58   111.842605  141.691507    7           35         4          False              32
60   112.553696  141.521869  586          132         4          False              33
61   116.312395  141.503593    4           17         4          False              34
62   119.559183  140.946295  565          130         4          False              35
63   116.092245  143.974648    8           55         4          False              36
64   117.187660  144.402073    5           39         4          False              37
65   121.033395  141.938081    4           55         4          False              38
66   120.076141  142.470723  209          123         4          False              39
67   120.232023  144.264917  348          227         4          False              40
68   124.968205  142.449753    5           30         4          False              41
70   123.332620  140.811720  555          196         4          False              42
71   122.835993  141.411725  385          262         4          False              43
72   122.755749  140.349380    3           47         4          False              44
73   129.243316  140.903807    4           40         4          False              45
77   133.650658  143.668084    1           55         4          False              46
78   130.809429  141.585590    5           52         4          False              47
79   133.306095  140.989824  595          125         4          False              48
80   137.405622  141.941086    6           55         4          False              49
82   136.426099  142.407378  472          138         4          False              50
83    98.617520  147.221286  381          179         4          False              51
84   103.593812  146.389538    6           50         4          False              52
86   114.650466  147.620981  261          261         4          False              53
87   114.520481  149.302964  274          242         4          False              54
88   114.767277  146.877499    1           31         4          False              55
89   116.556625  146.142198    3           50         4          False              56
90   119.813785  148.217941  359          220         4          False              57
91   115.731862  147.819179  277          160         4          False              58
93   122.159867  147.769405    4           26         4          False              59
95   125.716931  146.318507  586          130         4          False              60
98   126.930477  149.417722  267          197         4          False              61
99   130.791865  146.920375  262          161         4          False              62
102  134.332541  145.315809  566           95         4          False              63
103  134.030345  145.481114  364          168         4          False              64
104  130.677914  145.228099    5           40         4          False              65
106  130.778654  149.712328  496          195         4          False              66
107  131.393009  148.571462    7           45         4          False              67
108  137.214173  145.605599    1           25         4          False              68
109  137.672780  145.872241  437          251         4          False              69
113   95.764583  153.496660  250          248         4          False              70
114  112.495204  154.717450    3           56         4          False              71
115  111.465702  151.832806  498          185         4          False              72
122  119.506248  154.006228    5           59         4          False              73
123  115.886960  150.336601  343          152         4          False              74
125  117.197332  153.536146    9           45         4          False              75
128  119.545557  154.723774  414          176         4          False              76
129  118.283309  151.231955  401           65         4          False              77
130  116.207607  151.802844    2           43         4          False              78
131  118.604323  150.128202  264          246         4          False              79
133  124.336938  154.957826  304           97         4          False              80
137  120.320920  151.855851    1           46         4          False              81
140  120.535920  153.489037    3           31         4          False              82
141  124.216391  154.233910    9           41         4          False              83
142  120.545623  152.142912  486          171         4          False              84
146  125.643503  151.648407  513          162         4          False              85
147  131.020805  151.178708    9           33         4          False              86
148  130.489666  151.459239  562          188         4          False              87
149  131.149837  152.754572    8           39         4          False              88
150  133.760905  154.635716    9           36         4          False              89
154  137.742604  152.765623    3           16         4          False              90
155  137.903442  154.781513  296          169         4          False              91
157  101.702586  159.844211  269          149         4          False              92
158  100.659506  158.780848    2           42         4          False              93
159  106.393609  159.112825    9           18         4          False              94
162  113.399401  157.853522  553           66         4          False              95
165  112.835900  156.738187  555          179         4          False              96
170  114.037571  157.182448    9           51         4          False              97
172  114.497091  158.958109    6           39         4          False              98
173  115.830344  157.273823    3           27         4          False              99
174  119.456641  155.438664  559          165         4          False             100
175  118.065283  158.000351    8           46         4          False             101
176  115.856196  156.541820    2           44         4          False             102
177  115.292897  157.789455  330          268         4          False             103
178  116.576314  156.540260  565          120         4          False             104
179  119.205449  156.234451  294          139         4          False             105
182  117.796815  155.996059    3           53         4          False             106
185  119.907191  155.000276  416           98         4          False             107
186  118.418376  157.605779  556          242         4          False             108
187  118.046727  155.951262    9           29         4          False             109
188  116.045371  159.905270    2           25         4          False             110
189  117.738858  157.059398    3           22         4          False             111
191  118.253029  156.087725  409           66         4          False             112
194  119.090103  159.048211    8           27         4          False             113
196  118.266182  159.450218  512          221         4          False             114
198  115.086662  157.396597    5           57         4          False             115
199  121.488634  157.954939  281          194         4          False             116
200  123.051928  159.332991  430          172         4          False             117
201  120.829091  155.933318    6           23         4          False             118
202  120.907046  156.288423  508          155         4          False             119
205  121.399762  159.854040    3           33         4          False             120
206  122.462728  159.113986    7           30         4          False             121
