
 DAY: 1 
              x           y   kg  set_up_time  last_day  yet_postponed
0     57.757901   67.824817  382          119         5          False
1     53.051361   70.835001  285          179         5          False
2    110.756709   70.692711  574           75         4          False
3    154.341998  109.085160    5           32         5          False
4    116.049548  112.981170  450          112         4          False
5    117.565620  111.850451  274           64         4          False
6    119.360558  110.110225    8           59         5          False
7    133.885303  112.838471    2           30         5          False
8    168.865314  110.698920    5           43         5          False
9    109.058605  119.528801  349          189         5          False
10   132.255128  117.448573  364          125         5          False
11   102.236150  124.973389    7           26         4          False
12   119.057078  124.298063  377          178         4          False
13   122.679237  124.679187    1           40         4          False
14   121.297262  120.325478  301          115         4          False
15   140.918609  124.831090    4           51         5          False
16   160.224484  120.954465    4           47         5          False
17   175.671377  121.609577    2           18         4          False
18    97.370604  128.680214    3           19         5          False
19   109.505346  125.179637    5           20         4          False
20   116.074495  125.144744  375          176         5          False
21   137.064621  128.962666    5           18         4          False
22   137.013664  125.056410    3           33         5          False
23   140.393612  126.289149    2           36         5          False
24    95.128678  131.280420  469          111         5          False
25    98.172014  130.950092    4           51         4          False
26   101.070843  131.988447  467           99         4          False
27   101.990671  134.225207  321          201         4          False
28   103.666248  132.865375  275          260         4          False
29   103.378822  133.596783    4           27         4          False
30   104.325994  132.082296    3           47         4          False
31   122.813345  134.252644    3           45         4          False
32   129.933840  130.808359  369           86         4          False
33   130.918879  132.875087  271          184         5          False
34   139.289699  130.909805    2           31         4          False
35   139.806621  133.828015  539          180         4          False
36   146.297403  133.737773    5           16         5          False
37    94.935611  137.274190    5           16         4          False
38   110.588887  136.251530    9           34         5          False
39   110.732545  139.613326    7           40         5          False
40   113.611835  136.532450  417          245         4          False
41   118.777941  139.857520    1           52         4          False
42   118.756923  136.514614    3           31         5          False
43   119.330676  135.085868  292          163         4          False
44   121.030432  137.220128  413          127         4          False
45   121.539939  139.139437    2           56         5          False
46   123.014217  138.675411    3           38         5          False
47   131.267884  135.345733  324          221         4          False
48   130.903636  138.752884  328          157         5          False
49   134.248424  136.015735    5           49         4          False
50   131.895555  135.220940  417           83         4          False
51   131.946062  137.439351    8           19         4          False
52   130.054251  139.570929  479          135         5          False
53   135.971397  136.701128    7           43         5          False
54   135.318286  136.359186    9           27         5          False
55   137.081853  135.567803    9           55         4          False
56   145.824357  138.882785  333          208         4          False
57   100.308604  141.056536    1           56         5          False
58   111.842605  141.691507    7           35         4          False
59   112.913214  141.354960  442          261         5          False
60   112.553696  141.521869  586          132         4          False
61   116.312395  141.503593    4           17         4          False
62   119.559183  140.946295  565          130         4          False
63   116.092245  143.974648    8           55         4          False
64   117.187660  144.402073    5           39         4          False
65   121.033395  141.938081    4           55         4          False
66   120.076141  142.470723  209          123         4          False
67   120.232023  144.264917  348          227         4          False
68   124.968205  142.449753    5           30         4          False
69   122.287238  142.810592    1           18         5          False
70   123.332620  140.811720  555          196         4          False
71   122.835993  141.411725  385          262         4          False
72   122.755749  140.349380    3           47         4          False
73   129.243316  140.903807    4           40         4          False
74   128.270544  140.257893  493          109         5          False
75   125.162619  144.773712    8           52         5          False
76   125.401958  144.993698    8           20         5          False
77   133.650658  143.668084    1           55         4          False
78   130.809429  141.585590    5           52         4          False
79   133.306095  140.989824  595          125         4          False
80   137.405622  141.941086    6           55         4          False
81   139.319497  141.330480  560          254         5          False
82   136.426099  142.407378  472          138         4          False
83    98.617520  147.221286  381          179         4          False
84   103.593812  146.389538    6           50         4          False
85   106.209548  147.753157  359           76         5          False
86   114.650466  147.620981  261          261         4          False
87   114.520481  149.302964  274          242         4          False
88   114.767277  146.877499    1           31         4          False
89   116.556625  146.142198    3           50         4          False
90   119.813785  148.217941  359          220         4          False
91   115.731862  147.819179  277          160         4          False
92   120.492097  146.330631  455          137         5          False
93   122.159867  147.769405    4           26         4          False
94   125.882810  146.483311  550          103         5          False
95   125.716931  146.318507  586          130         4          False
96   125.971134  149.790316  595          204         5          False
97   129.764956  145.208236    2           40         5          False
98   126.930477  149.417722  267          197         4          False
99   130.791865  146.920375  262          161         4          False
100  131.316947  148.448245    8           29         5          False
101  131.463011  146.301056    9           46         5          False
102  134.332541  145.315809  566           95         4          False
103  134.030345  145.481114  364          168         4          False
104  130.677914  145.228099    5           40         4          False
105  134.453550  149.315731    6           57         5          False
106  130.778654  149.712328  496          195         4          False
107  131.393009  148.571462    7           45         4          False
108  137.214173  145.605599    1           25         4          False
109  137.672780  145.872241  437          251         4          False
110  138.611511  148.147864    1           24         5          False
111  139.870932  149.617766  315           82         5          False
112  137.746603  148.267878  396           83         5          False
113   95.764583  153.496660  250          248         4          False
114  112.495204  154.717450    3           56         4          False
115  111.465702  151.832806  498          185         4          False
116  116.403302  150.911840  512           69         5          False
117  117.822529  154.901164    4           34         5          False
118  117.574722  154.223773  495          109         5          False
119  115.807392  150.463943  539           78         5          False
120  119.110402  152.051605    5           19         5          False
121  116.776410  154.334542  554           74         5          False
122  119.506248  154.006228    5           59         4          False
123  115.886960  150.336601  343          152         4          False
124  119.127369  152.830652    7           28         5          False
125  117.197332  153.536146    9           45         4          False
126  116.678116  151.667978  291           81         5          False
127  115.958845  151.786736  485          226         5          False
128  119.545557  154.723774  414          176         4          False
129  118.283309  151.231955  401           65         4          False
130  116.207607  151.802844    2           43         4          False
131  118.604323  150.128202  264          246         4          False
132  121.702130  152.799550  593          107         5          False
133  124.336938  154.957826  304           97         4          False
134  123.931724  154.164776    5           35         5          False
135  124.512621  153.144200    6           15         5          False
136  122.761470  150.540321  297          182         5          False
137  120.320920  151.855851    1           46         4          False
138  121.792900  153.816703  415          130         5          False
139  120.220170  154.684038    9           29         5          False
140  120.535920  153.489037    3           31         4          False
141  124.216391  154.233910    9           41         4          False
142  120.545623  152.142912  486          171         4          False
143  126.870180  152.014082  573          106         5          False
144  125.204336  152.583795  251           73         5          False
145  125.430116  153.481697    9           28         5          False
146  125.643503  151.648407  513          162         4          False
147  131.020805  151.178708    9           33         4          False
148  130.489666  151.459239  562          188         4          False
149  131.149837  152.754572    8           39         4          False
150  133.760905  154.635716    9           36         4          False
151  133.127932  150.984360  500          238         5          False
152  134.167573  152.529125    5           35         5          False
153  132.253069  154.957636    1           57         5          False
154  137.742604  152.765623    3           16         4          False
155  137.903442  154.781513  296          169         4          False
156   99.816337  158.680262  223          180         5          False
157  101.702586  159.844211  269          149         4          False
158  100.659506  158.780848    2           42         4          False
159  106.393609  159.112825    9           18         4          False
160  108.567847  159.672172    9           39         5          False
161  106.915186  156.446326    6           36         5          False
162  113.399401  157.853522  553           66         4          False
163  112.159047  155.725117  491          229         5          False
164  110.943183  159.224546  581          176         5          False
165  112.835900  156.738187  555          179         4          False
166  113.445395  155.600026    2           52         5          False
167  114.758384  158.602195  544          118         5          False
168  114.883448  159.247215  473          251         5          False
169  114.179166  157.679197    3           37         5          False
170  114.037571  157.182448    9           51         4          False
171  112.174018  157.794247    8           21         5          False
172  114.497091  158.958109    6           39         4          False
173  115.830344  157.273823    3           27         4          False
174  119.456641  155.438664  559          165         4          False
175  118.065283  158.000351    8           46         4          False
176  115.856196  156.541820    2           44         4          False
177  115.292897  157.789455  330          268         4          False
178  116.576314  156.540260  565          120         4          False
179  119.205449  156.234451  294          139         4          False
180  117.980151  158.852183    5           29         5          False
181  118.221608  157.502286    7           26         5          False
182  117.796815  155.996059    3           53         4          False
183  116.459728  159.854410    4           40         5          False
184  118.874853  157.297014    7           53         5          False
185  119.907191  155.000276  416           98         4          False
186  118.418376  157.605779  556          242         4          False
187  118.046727  155.951262    9           29         4          False
188  116.045371  159.905270    2           25         4          False
189  117.738858  157.059398    3           22         4          False
190  119.900786  155.149244    7           23         5          False
191  118.253029  156.087725  409           66         4          False
192  119.475774  159.774919    3           28         5          False
193  118.269547  155.019360  375           63         5          False
194  119.090103  159.048211    8           27         4          False
195  118.348727  159.132286  227          259         5          False
196  118.266182  159.450218  512          221         4          False
197  115.862701  156.441341  287          234         5          False
198  115.086662  157.396597    5           57         4          False
199  121.488634  157.954939  281          194         4          False
200  123.051928  159.332991  430          172         4          False
201  120.829091  155.933318    6           23         4          False
202  120.907046  156.288423  508          155         4          False
203  124.872138  159.506836  284          154         5          False
204  123.459088  158.535160  580          221         5          False
205  121.399762  159.854040    3           33         4          False
206  122.462728  159.113986    7           30         4          False
207  122.098885  155.384662  545          180         4          False
208  120.293037  159.826413  496          188         5          False
209  121.114088  158.070474    8           53         4          False
210  124.404859  159.799396  484          110         5          False
211  123.602872  158.894695    5           28         5          False
212  120.631640  156.829467  497           90         5          False
213  121.548289  157.236163  458          165         4          False
214  121.181899  158.997995  248          220         4          False
215  124.672652  159.032173    9           20         5          False
216  123.070247  158.462428  222          215         4          False
217  121.441577  158.150754    6           57         4          False
218  120.845663  159.179258  509          218         4          False
219  123.430358  156.884358    7           58         5          False
220  121.792521  156.015723    9           19         5          False
221  120.848593  155.501176    3           45         4          False
222  121.048756  157.619640  315          254         5          False
223  122.063791  156.082432    4           18         4          False
224  121.525493  156.280800  417          112         5          False
225  124.598031  159.137876  224          116         5          False
226  124.167417  157.661587  366          153         5          False
227  129.613654  157.901759    6           33         4          False
228  127.644913  159.100059  575          162         4          False
229  125.499709  157.627391    3           41         4          False
230  126.765895  155.355963    2           46         5          False
231  125.367890  158.587029    3           37         5          False
232  125.145504  155.278795    2           27         4          False
233  129.442114  156.455493    7           44         5          False
234  129.052840  157.026015    1           22         4          False
235  125.300965  155.538752    1           18         5          False
236  129.343496  157.256086  414          131         5          False
237  128.256851  157.755027    6           53         5          False
238  129.388293  158.142513    6           20         5          False
239  128.333387  157.570726    5           20         5          False
240  129.627324  156.259114  421          122         4          False
241  125.222909  159.578013    1           19         5          False
242  128.485382  155.550466    1           52         4          False
243  127.636404  155.390682  412          178         5          False
244  129.230586  159.051879    9           27         5          False
245  132.592365  157.936093    2           22         5          False
246  131.285450  158.342616    5           19         4          False
247  132.565384  155.421997  244          120         5          False
248  135.712092  156.384617  528          174         4          False
249  138.015369  159.699743    6           36         5          False
250  137.096763  158.104146  266          206         4          False
251  135.814343  158.297669  537          143         4          False
252  140.336428  159.955008  488          223         4          False
253  141.038634  158.230798  558          209         5          False
254  148.894768  157.786123  559          157         4          False
255   89.874850  161.011306  378          194         5          False
256  100.920568  162.607874    5           39         5          False
257  108.930230  164.515336    7           31         4          False
258  106.875754  162.705434    7           57         5          False
259  110.501543  163.357327  477          133         4          False
260  116.882632  164.192533  282          246         4          False
261  115.040159  160.361860  281          237         4          False
262  117.654558  162.666543    8           22         5          False
263  117.920268  162.520891    7           28         4          False
264  119.457705  161.073031    1           33         4          False
265  118.445680  162.053031  228          100         5          False
266  119.198161  161.768399  236          109         4          False
267  115.324019  162.772837    1           29         5          False
268  115.888376  164.647014  470          203         5          False
269  116.018900  160.575320  400           73         5          False
270  124.731721  164.606177    9           51         5          False
271  124.277250  164.775910    9           48         4          False
272  124.153241  160.430566  319          223         4          False
273  121.793314  163.013310    6           18         5          False
274  122.208875  160.784401    8           46         5          False
275  124.205309  164.443022  510          264         4          False
276  124.369173  160.827759  543          189         5          False
277  122.405211  164.016902    1           15         5          False
278  120.713909  164.272886    2           30         4          False
279  120.019421  164.995252    2           31         4          False
280  121.618717  160.722150    1           25         4          False
281  120.142437  163.077407    5           57         4          False
282  122.483579  164.771360  417          252         5          False
283  122.396982  164.508927  483          242         5          False
284  122.574777  162.812672    7           42         4          False
285  121.648958  164.943068  519          124         4          False
286  121.936644  160.140052  553          104         5          False
287  121.404143  162.199246  575           91         5          False
288  122.012390  161.164593  585          253         5          False
289  121.100018  161.681610  439          132         5          False
290  123.454353  162.475703    8           15         4          False
291  121.462852  160.046730  378          265         4          False
292  120.788251  161.800006  265          194         5          False
293  121.037383  160.465054  305          205         5          False
294  123.637101  163.045711  522          164         4          False
295  123.646501  160.815904  366          210         5          False
296  123.661163  162.116060  298          210         5          False
297  129.211399  164.567003    4           54         5          False
298  129.774836  164.700945    2           26         4          False
299  126.301839  162.915212  404          224         5          False
300  126.912233  163.844610    6           26         4          False
301  126.490432  164.368097    6           42         4          False
302  129.663673  160.605913    6           15         4          False
303  128.348138  163.634069  573          241         4          False
304  127.421535  164.776589    3           16         4          False
305  129.109497  164.322086    5           35         4          False
306  129.468310  161.849807  438          140         4          False
307  125.440878  162.178018    4           23         5          False
308  126.413866  162.126002  469          109         5          False
309  126.076809  163.280234    3           37         5          False
310  128.960022  164.869652    5           55         5          False
311  127.233691  163.965387    9           30         5          False
312  125.975260  162.011963  235          117         4          False
313  127.277999  164.972732  387          164         5          False
314  127.116859  163.384920    2           21         4          False
315  125.590946  164.550778    8           32         4          False
316  134.800295  162.515914  346          102         5          False
317  130.928021  161.165915    1           37         5          False
318  131.241704  163.135705  318          180         4          False
319  133.608990  163.804387    8           30         4          False
320  137.671581  163.898696  475          225         5          False
321  135.803663  160.567873  493          183         4          False
322  138.109927  160.062609    2           52         4          False
323  135.441532  162.653329    6           53         4          False
324  138.637273  164.464182  522          209         5          False
325  141.005487  164.139187  458          155         4          False
326  105.445676  168.968966  326          259         5          False
327  113.320793  166.641439  373          232         5          False
328  119.698817  169.616895    5           47         4          False
329  117.907750  167.021341  246          240         5          False
330  117.901905  165.249935  347          109         4          False
331  120.465643  167.033220  572          246         4          False
332  126.256021  169.352649  296          171         5          False
333  128.095845  167.562701  554          168         5          False
334  127.710202  169.862461  200          161         5          False
335  127.754121  165.423518    9           27         4          False
336  125.766530  169.369485    3           20         4          False
337  134.354812  167.013534    1           20         4          False
338  134.125686  169.612039  476          226         4          False
339  134.897739  167.863432  304           82         4          False
340  133.806832  167.522751    5           39         5          False
341  131.511445  168.950897  473          193         5          False
342  130.796223  165.623860  404           95         5          False
343  133.425460  168.268525    8           45         4          False
344  132.682711  168.366702    1           17         4          False
345  136.033568  166.465462    3           58         4          False
346  139.029193  168.145815    3           45         5          False
347   93.682158  174.809324    5           48         4          False
348  108.696962  172.474820    4           37         4          False
349  106.224223  170.191533    4           39         4          False
350  113.775365  174.633175  343          111         5          False
351  110.414888  171.762599    9           19         5          False
352  117.663571  173.023208  505          256         4          False
353  118.461971  174.696452    4           19         5          False
354  119.509803  172.340308  453           78         4          False
355  121.931358  171.279641    4           42         5          False
356  122.374418  173.353971    5           17         4          False
357  128.288313  172.223712  236          248         4          False
358  128.511548  173.398664    4           28         5          False
359  126.800412  173.754252  264           81         5          False
360  133.886804  171.523866    4           32         5          False
361  132.689290  170.235489  309          227         4          False
362  130.888693  173.202866    6           59         5          False
363  139.412509  172.859101  232          233         5          False
364  135.744668  171.897433  333          119         5          False
365   89.939531  176.894394    6           46         4          False
366  105.507396  177.560582  267           96         5          False
367  109.714715  179.099364  470          192         4          False
368  112.414535  178.319522    1           48         4          False
369  115.653170  178.989406  556          210         5          False
370  124.847548  175.360191    7           20         5          False
371  127.784686  175.820293    2           27         4          False
372  125.789762  176.611338    2           22         5          False
373  127.692206  177.033387  518          159         4          False
374  134.637479  175.969756  273          137         5          False
375  136.064402  176.267391    1           17         5          False
376  142.573871  176.018075  431          269         5          False
377  143.514013  179.198299    6           47         5          False
378  144.625163  175.551568    3           56         4          False
379  140.182687  179.984928  274          233         5          False
380   88.347455  182.789036    5           25         4          False
381   97.030909  184.850580  592          257         4          False
382  102.208582  181.680517    7           32         5          False
383  104.853667  181.844122  315          117         4          False
384  116.039461  183.143686  310          176         4          False
385  124.979518  180.608324  320          216         5          False
386  142.303290  182.653335  249          235         4          False
387  143.519032  183.263410    6           41         5          False
388  150.395552  180.021252    9           54         4          False
389  174.979600  182.514871  436          213         5          False
390   95.557086  186.861246    7           27         4          False
391  114.908474  186.732405  496          203         4          False
392  110.996142  186.182877    6           19         5          False
393  121.646973  186.501592  580          206         5          False
394  139.133103  186.529791  483           69         4          False
395  136.976858  186.049281  515          172         4          False
396  145.405224  187.688156    4           54         4          False
397  136.154854  194.589545  230           98         5          False
398   64.735852  200.695873    4           15         4          False
399   90.500525  203.927774    9           56         4          False
 DAY: 2 
              x           y   kg  set_up_time  last_day  yet_postponed
0    117.920268  162.520891    7           28         4          False
1    119.457705  161.073031    1           33         4          False
2    119.198161  161.768399  236          109         4          False
3    124.277250  164.775910    9           48         4          False
4    124.153241  160.430566  319          223         4          False
5    124.205309  164.443022  510          264         4          False
6    120.713909  164.272886    2           30         4          False
7    120.019421  164.995252    2           31         4          False
8    121.618717  160.722150    1           25         4          False
9    120.142437  163.077407    5           57         4          False
10   122.574777  162.812672    7           42         4          False
11   121.648958  164.943068  519          124         4          False
12   123.454353  162.475703    8           15         4          False
13   121.462852  160.046730  378          265         4          False
14   123.637101  163.045711  522          164         4          False
15   129.774836  164.700945    2           26         4          False
16   126.912233  163.844610    6           26         4          False
17   126.490432  164.368097    6           42         4          False
18   129.663673  160.605913    6           15         4          False
19   128.348138  163.634069  573          241         4          False
